,phrase,label,sentiment,subjectivity,language,count
winter,winter,DATE,,,en,4.5
Sunday,Sunday,DATE,,,en,3.6
Qatari,Qatari,NORP,,,en,1.9
Thousands,Thousands,CARDINAL,,,en,1.9
the beginning of winter,the beginning of winter,DATE,,,en,1.9
Giant Jacuzzi,Giant Jacuzzi,WORK_OF_ART,,,en,1.9
English,English,NORP,,,en,1.9
Monday,Monday,DATE,,,en,1.9
Israeli,Israeli,NORP,,,en,1.8
7 years,7 years,DATE,,,en,1.8
more than two years,more than two years,DATE,,,en,1.8
American,American,NORP,,,en,1.3
the Al-Aqsa flood,the Al-Aqsa flood,FAC,,,en,1.1
more than half a million,more than half a million,CARDINAL,,,en,1.0
yesterday,yesterday,DATE,,,en,1.0
more than 550,more than 550,CARDINAL,,,en,1.0
Toronto Airport,Toronto Airport,FAC,,,en,1.0
about 40 centimeters,about 40 centimeters,QUANTITY,,,en,1.0
more than 50,more than 50,CARDINAL,,,en,1.0
hundreds,hundreds,CARDINAL,,,en,1.0
Toronto Pearson International Airport,Toronto Pearson International Airport,FAC,,,en,1.0
50,50,CARDINAL,,,en,1.0
Kuwaiti,Kuwaiti,NORP,,,en,1.0
one,one,CARDINAL,,,en,1.0
the 2026 World Cup,the 2026 World Cup,EVENT,,,en,1.0
Saturday,Saturday,DATE,,,en,1.0
2026,2026,DATE,,,en,1.0
World Cup,World Cup,EVENT,,,en,1.0
the World Cup,the World Cup,EVENT,,,en,1.0
30,30,CARDINAL,,,en,1.0
a long night,a long night,TIME,,,en,1.0
thousands,thousands,CARDINAL,,,en,1.0
"10,000","10,000",CARDINAL,,,en,1.0
120 kilometers per hour,120 kilometers per hour,QUANTITY,,,en,1.0
75 miles per hour,75 miles per hour,QUANTITY,,,en,1.0
Tens of thousands,Tens of thousands,CARDINAL,,,en,1.0
years,years,DATE,,,en,1.0
more than 10,more than 10,CARDINAL,,,en,1.0
"95,000","95,000",CARDINAL,,,en,1.0
10,10,CARDINAL,,,en,1.0
Iranian,Iranian,NORP,,,en,1.0
Chinese,Chinese,NORP,,,en,1.0
February 2026,February 2026,DATE,,,en,1.0
more than 200,more than 200,CARDINAL,,,en,1.0
"today, Monday","today, Monday",DATE,,,en,1.0
Ganges,Ganges,NORP,,,en,1.0
the Arab Cup,the Arab Cup,EVENT,,,en,1.0
Türkiye,Türkiye,NORP,,,en,1.0
Khalifa International Stadium,Khalifa International Stadium,FAC,,,en,1.0
third,third,ORDINAL,,,en,1.0
"today, Thursday","today, Thursday",DATE,,,en,1.0
Arab Cup,Arab Cup,EVENT,,,en,1.0
2025,2025,CARDINAL,,,en,1.0
two years,two years,DATE,,,en,1.0
40,40,CARDINAL,,,en,1.0
French,French,NORP,,,en,1.0
the Al-Aqsa,the Al-Aqsa,FAC,,,en,1.0
Arab,Arab,NORP,,,en,1.0
Palestinian,Palestinian,NORP,,,en,1.0
about 4 decades,about 4 decades,DATE,,,en,1.0
first,first,ORDINAL,,,en,1.0
a century,a century,DATE,,,en,1.0
decades,decades,DATE,,,en,1.0
14,14,CARDINAL,,,en,1.0
At least 2 million,At least 2 million,CARDINAL,,,en,1.0
between 40 and 60 mph,between 40 and 60 mph,QUANTITY,,,en,1.0
Tampa International Airport,Tampa International Airport,FAC,,,en,1.0
52 mph,52 mph,QUANTITY,,,en,1.0
Arab-Islamic,Arab-Islamic,NORP,,,en,1.0
Mexican,Mexican,NORP,,,en,1.0
60%,60%,PERCENT,,,en,1.0
Atlanta Airport,Atlanta Airport,FAC,,,en,1.0
Tuesday night,Tuesday night,TIME,,,en,1.0
winter nights,winter nights,DATE,,,en,1.0
night,night,TIME,,,en,1.0
Moroccan,Moroccan,NORP,,,en,1.0
millions,millions,CARDINAL,,,en,1.0
18,18,CARDINAL,,,en,1.0
German,German,NORP,,,en,1.0
