,phrase,label,sentiment,subjectivity,language,count
CNN,CNN,ORG,0.06699810606060606,0.11612215909090909,en,6.4
Trump,Trump,ORG,-0.18289262820512817,0.5118189102564102,en,5.2
Environment Canada,Environment Canada,ORG,-0.17675983436853004,0.6609730848861284,en,4.6
Al-Ahram,Al-Ahram,ORG,0.2473118279569892,0.5698924731182795,en,3.1
Premier League,Premier League,ORG,-0.12113095238095237,0.28273809523809523,en,2.8
Tottenham,Tottenham,ORG,0.0,0.0,en,1.9
Al Jazeera Net,Al Jazeera Net,ORG,0.0,0.0,en,1.9
Canadian Al-Ahram,Canadian Al-Ahram,ORG,-0.04147544185138171,0.20653907496012758,en,1.9
The US Department of Justice,The US Department of Justice,ORG,0.0668859649122807,0.22807017543859648,en,1.9
Al-Ahram Al-Canadian...,Al-Ahram Al-Canadian...,ORG,0.2649122807017544,0.2894736842105263,en,1.9
NASA,NASA,ORG,0.0,0.0,en,1.9
NATO,NATO,ORG,-1.0526315789473684,0.5263157894736842,en,1.9
IGAD,IGAD,ORG,0.0,0.0,en,1.9
the African Champions League,the African Champions League,ORG,0.0,0.0,en,1.9
The Revolutionary Guard,The Revolutionary Guard,ORG,0.06818181818181818,0.0,en,1.0
Al Jazeera,Al Jazeera,ORG,-0.01388888888888889,0.0,en,1.0
Emirates Airlines,Emirates Airlines,ORG,-0.25,0.0,en,1.0
the African Union,the African Union,ORG,-0.01388888888888889,0.0,en,1.0
UAE,UAE,ORG,0.2,0.0,en,1.0
the Iranian Defense Council,the Iranian Defense Council,ORG,0.22666666666666666,0.0,en,1.0
the Grand Palace,the Grand Palace,ORG,0.3181818181818182,0.0,en,1.0
the Arab Movement for Change,the Arab Movement for Change,ORG,0.15,0.0,en,1.0
the Iranian Revolutionary Guard for Cultural and Media Affairs,the Iranian Revolutionary Guard for Cultural and Media Affairs,ORG,0.0,0.0,en,1.0
Midas,Midas,ORG,0.0,0.0,en,1.0
British Independent,British Independent,ORG,0.0,0.0,en,1.0
The Meteorological Service,The Meteorological Service,ORG,0.375,0.0,en,1.0
National Security Committee,National Security Committee,ORG,0.0,0.0,en,1.0
the National Security and Foreign Policy Committee,the National Security and Foreign Policy Committee,ORG,0.065,0.0,en,1.0
the Iranian Parliament,the Iranian Parliament,ORG,0.065,0.0,en,1.0
​​the Sierra Nevada Mountains,​​the Sierra Nevada Mountains,ORG,-0.06666666666666668,0.0,en,1.0
Real Madrid,Real Madrid,ORG,0.13333333333333333,0.0,en,1.0
NYPD,NYPD,ORG,0.06818181818181818,0.0,en,1.0
the Popular Mobilization Forces,the Popular Mobilization Forces,ORG,-0.0666666666666667,0.0,en,1.0
the Premier League,the Premier League,ORG,0.0,0.0,en,1.0
Energy,Energy,ORG,0.0,0.0,en,1.0
The Canadian Ministry of Environment,The Canadian Ministry of Environment,ORG,0.0,0.0,en,1.0
Axios,Axios,ORG,0.125,0.0,en,1.0
Newsweek,Newsweek,ORG,0.125,0.0,en,1.0
Macron,Macron,ORG,0.0,0.0,en,1.0
UNRWA,UNRWA,ORG,0.15,0.0,en,1.0
the United Nations Relief and Works Agency,the United Nations Relief and Works Agency,ORG,0.15,0.0,en,1.0
Delta Air Lines,Delta Air Lines,ORG,0.1,0.0,en,1.0
Nano,Nano,ORG,0.0,0.0,en,1.0
Generation Z,Generation Z,ORG,0.1,0.0,en,1.0
Toronto Stormy,Toronto Stormy,ORG,0.5,0.0,en,1.0
The Iraqi League,The Iraqi League,ORG,0.15,0.0,en,1.0
the Anti-Immigration Authority,the Anti-Immigration Authority,ORG,0.0,0.0,en,1.0
Tweeters,Tweeters,ORG,0.16818181818181818,0.0,en,1.0
Real Oviedo,Real Oviedo,ORG,0.16818181818181818,0.0,en,1.0
Pyramids,Pyramids,ORG,0.0,0.0,en,1.0
The Egyptian Pyramids Club,The Egyptian Pyramids Club,ORG,0.0,0.0,en,1.0
Iranian Army,Iranian Army,ORG,0.09062500000000001,0.0,en,1.0
Greenland,Greenland,ORG,-0.24166666666666667,0.0,en,1.0
the Interior and Administration,the Interior and Administration,ORG,0.125,0.0,en,1.0
the Ministry of the Interior,the Ministry of the Interior,ORG,0.4333333333333333,0.0,en,1.0
Toronto Meteorology,Toronto Meteorology,ORG,0.048469387755102046,0.0,en,1.0
Knesset,Knesset,ORG,0.15,0.0,en,1.0
the University of Notre Dame,the University of Notre Dame,ORG,0.0,0.0,en,1.0
Michigan Tech University,Michigan Tech University,ORG,0.0,0.0,en,1.0
Yamaguchi University,Yamaguchi University,ORG,0.04999999999999999,0.0,en,1.0
